id,uri
11cb8247-7ffe-492c-a2a7-49db3da0367a,http://localhost:8085/identifier-list/308
bd833e36-a482-410d-96ed-0a29b4f08de7,http://localhost:8085/identifier-list/308
c9325e51-d34f-49b4-ac0d-e01f5fb83974,http://localhost:8085/identifier-list/308
30648e7f-a666-4bf7-98d8-eac89b2f9dab,http://localhost:8085/identifier-list/308
ff78dc51-8718-427d-a790-b8db6bbb67ad,http://localhost:8085/identifier-list/308
805b16de-e9a1-4016-a299-32aef7254c96,http://localhost:8085/identifier-list/29
1e95f617-4dfe-4cc4-a305-d0f1c20d1592,http://localhost:8085/identifier-list/29
7ef977bd-1a83-4590-bcb9-32fb6f16ea7e,http://localhost:8085/identifier-list/29
e1828ebe-27aa-40ab-8eee-f533e8bb3d49,http://localhost:8085/identifier-list/29
b581f825-d4b6-4ee9-bf7b-d53a0a25ecff,http://localhost:8085/identifier-list/408
fa12bd24-45ee-49a9-9575-7880452fccd8,http://localhost:8085/identifier-list/274
df302246-4bac-4142-9c1a-ea00d48a3629,http://localhost:8085/identifier-list/274
f0c29f74-4b7a-4eeb-9822-a80f6cf7de2c,http://localhost:8085/identifier-list/274
382d8869-e3bd-45c2-a384-3c41a9c731fb,http://localhost:8085/identifier-list/213
2185ce2c-6f62-4294-aa23-0abaec7e3309,http://localhost:8085/identifier-list/496
cae60450-a8d3-4dca-a195-95fffb5656fe,http://localhost:8085/identifier-list/403
f22b0461-5bc7-4c40-a14a-7f0f51e1e7eb,http://localhost:8085/identifier-list/427
2e561e96-a553-4752-bb71-2eb96f75cefa,http://localhost:8085/identifier-list/427
2cacc042-b582-4b90-9335-899f6380cfb4,http://localhost:8085/identifier-list/427
4b8c4717-debc-4932-975e-89b59be67a1b,http://localhost:8085/identifier-list/427
64ba6d09-6806-4b44-8fd6-6606792ebfc8,http://localhost:8085/identifier-list/427
99cc58af-a5ac-4ee5-a006-66cd0ab9952b,http://localhost:8085/identifier-list/62
e58c29a8-97eb-4d00-b848-dc53de697179,http://localhost:8085/identifier-list/62
f7479382-68ec-4b64-bad9-35a6e3fe29aa,http://localhost:8085/identifier-list/62
00af7bbb-be16-4426-9b18-638f6c4df772,http://localhost:8085/identifier-list/62
a20410bb-6837-4fb9-ac46-2bf12acf3b51,http://localhost:8085/identifier-list/62
1d3121ee-2606-4ad9-87a3-a00336eca1b5,http://localhost:8085/identifier-list/181
695db1f4-1913-4688-9650-aa2fdaf33844,http://localhost:8085/identifier-list/181
dd32005a-4ee4-4122-890b-e62860d8f822,http://localhost:8085/identifier-list/181
1c315ba1-31a2-4272-b964-a4b3c9708406,http://localhost:8085/identifier-list/181
18d7c620-e466-4e55-b580-4c7ebd92870d,http://localhost:8085/identifier-list/477
337d5d4e-9ea5-4bf7-a9b4-bad790d9f2a6,http://localhost:8085/identifier-list/477
9791d889-561c-423a-8463-7f374d710fa3,http://localhost:8085/identifier-list/201
